species	common_name	edibility	edibility2	habit	leafArrangement	leafType	leafMargin	flowerColor	flowerColor2	clusterForm	sap	armature	source_title	source_ref
Convallaria majalis	Lily-of-the-valley	deadly		herb	basal			white		raceme			Chesnut, Principal Poisonous Plants (1898)	pp. 18-19, entry Convallaria majalis (death from paralysis); Pammel: very poisonous to man
Cornus sericea	Red-osier dogwood	edible	unpalatable	shrub				white					Yanovsky, Food Plants of the North American Indians (1936)	p. 49, entries Cornus stolonifera and C. pubescens (synonyms; bitter fruit eaten); traits Flora NW Coast entry Cornus occidentalis (synonym)
Corydalis scouleri		caution		herb		compound	entire	pink		raceme			Pammel, Manual of Poisonous Plants (1911)	entry Corydalis aurea, family note (others of the family have been considered poisonous); traits Flora NW Coast p. 165 entry Capnoides scouleri (synonym)
Cytisus scoparius	Scotch Broom	poisonous						yellow					Pammel, Manual of Poisonous Plants (1911)	pp. 551-552, entry Cytisus scoparius (contains cytisin and is poisonous; Blyth records 400 cases)
Daphne laureola	spurge laurel	poisonous											Pammel, Manual of Poisonous Plants (1911)	entry Daphne Mezereum, genus note (other cultivated species known to be poisonous)
Daphne mezereum	Spurge Laurel	deadly	touch-poison	shrub	alternate			purple	pink				Pammel, Manual of Poisonous Plants (1911)	p. 642-643 entry Daphne Mezereum (girl died after twelve berries; bark blisters skin on contact)
Datura stramonium	Jimson Weed	deadly		herb	alternate		toothed	white		solitary			Pammel, Manual of Poisonous Plants (1911)	entry Datura Stramonium (boy ate capsule, died next morning); traits Flora NW Coast p. 314
Datura wrightii	Wright's Datura	poisonous		herb			entire	white	purple	solitary			Pammel, Manual of Poisonous Plants (1911)	p. 733 entry Datura meteloides (synonym of D. Wrightii; known to be poisonous, nectar poisons children)
Daucus carota	Wild Carrot	edible	touch-poison	herb		compound		white	pink	umbel			Sturtevant's Notes on Edible Plants (1919)	entry Daucus carota (roots eaten raw in Hebrides); vesication when wet with dew per Pammel p. 664; traits Flora NW Coast p. 258
Delphinium menziesii	Western purple larkspur	poisonous		herb			lobed	blue		raceme			Chesnut, Principal Poisonous Plants (1898)	p. 25 entry Delphinium menziesii (250 of 500 sheep killed in one Montana case)
Delphinium nuttallianum	Larkspur	poisonous		herb			lobed	blue					Chesnut, Principal Poisonous Plants (1898)	genus treatment Delphinium p. 24 (species entry silent; Flora of Washington lists it as D. depauperatum syn. D. nuttallianum)
Delphinium trolliifolium	Cow Poison	poisonous		herb			lobed	blue		raceme			Chesnut, Principal Poisonous Plants (1898)	p. 25-26 entry Delphinium trolliifolium (poisoning reports, N. California and Oregon); NW flora p. 160: reputed very poisonous to cattle
Dicentra cucullaria	Dutchman's breeches	unknown						white		raceme			Piper, Flora of the State of Washington (1906)	p. 284 as Bikukulla cucullaria (key: flowers nearly white, inflorescence racemiform)
Dicentra formosa		unknown				compound		pink					Piper & Beattie, Flora of the Northwest Coast (1915)	p. 166 as Bikukulla formosa (corolla rose-colored; leaves 2-3 times ternate)
Dicentra uniflora		unknown						pink					Piper, Flora of the State of Washington (1906)	p. 284 as Bikukulla uniflora (key: flowers pink)
Digitalis purpurea	Purple Foxglove	poisonous		herb	alternate		toothed	purple	white	raceme			Pammel, Manual of Poisonous Plants (1911)	entry Digitalis purpurea (a dangerous poison; gastro-intestinal irritant); traits Flora NW Coast p. 325; alternate leaves per Flora of Washington key
Equisetum arvense	Common Horsetail	poisonous											Pammel, Manual of Poisonous Plants (1911)	entry Equisetum arvense (dried plant in hay produces fatal poisoning among horses)
Equisetum hyemale	Scouring Rush	toxic											Pammel, Manual of Poisonous Plants (1911)	catalogue entry Equisetum hyemale (Catalogue of the Poisonous Plants)
Equisetum telmateia		unknown											Piper & Beattie, Flora of the Northwest Coast (1915)	entry Equisetum telmateia p. 11 (traits only; no toxicity or edibility statement found)
Erythronium oregonum		unknown						white	yellow				Piper & Beattie, Flora of the Northwest Coast (1915)	p. 97 as Erythronium giganteum (synonym; perianth cream-colored, yellow and orange spot at base)
Eschscholzia californica	California Poppy	edible-cooked		herb	alternate		lobed	orange	yellow				Yanovsky, Food Plants of the North American Indians (1936)	entry Eschscholzia californica (leaves used for greens, boiled or roasted); traits Flora NW Coast p. 166
Euphorbia lathyris	Caper Spurge	poisonous	touch-poison	herb	opposite			green	yellow		milky		Chesnut, Principal Poisonous Plants (1898)	p. 33 entry Euphorbia lathyris (fruit highly purgative and poisonous, death from seeds; juice blisters skin)
Euphorbia maculata	Spotted Spurge	poisonous	touch-poison	herb			toothed				milky		Chesnut, Principal Poisonous Plants (1898)	genus treatment Euphorbia p. 32-33 (acrid milky juice, poisons cattle, skin eruptions); Pammel p. 601 probably poisonous; traits Pammel entry
Euphorbia peplus		poisonous	touch-poison	herb	alternate		entire			umbel	milky		Chesnut, Principal Poisonous Plants (1898)	genus treatment Euphorbia p. 32-33 (species entry silent, not contradicted); traits Flora NW Coast entry Euphorbia peplus
Fritillaria affinis		edible			whorled			purple	green				Yanovsky, Food Plants of the North American Indians (1936)	entry Fritillaria lanceolata (synonym; used like F. kamschatensis, NW States and BC); traits Flora NW Coast p. 97
Gaultheria shallon	Salal	edible		shrub			toothed	white		raceme			Yanovsky, Food Plants of the North American Indians (1936)	entry Gaultheria shallon (fruit eaten fresh or cooked, pressed into cakes); NW flora note: Berries edible
Geranium robertianum		unpalatable											Pammel, Manual of Poisonous Plants (1911)	p. 578 (Geranium Robertianum has a disagreeable bitter taste)
Geum macrophyllum		unknown				compound	toothed	yellow					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Geum macrophyllum (radical leaves pinnate, dentate; flowers yellow)
Goodyera oblongifolia	Rattlesnake Plantain	unknown						white		spike			Piper & Beattie, Flora of the Northwest Coast (1915)	entry as Peramium decipiens (synonym; perianth white, spike one-sided)
Hedera colchica		unknown
Hedera helix	European ivy	toxic											Pammel, Manual of Poisonous Plants (1911)	catalogue entry Hedera Helix (Catalogue of the Poisonous Plants; emetic-narcotic codes)
Hedera hibernica		unknown
Heracleum lanatum	Cow Parsnip	poisonous	touch-poison	herb		compound	toothed	white		umbel			Pammel, Manual of Poisonous Plants (1911)	p. 663 entry Heracleum lanatum (said to be poisonous; will produce blisters); Yanovsky records young stems and cooked roots eaten
Heracleum mantegazzianum		touch-poison											post-corpus species; modern phytophotodermatitis guidance, modern source pending	modern source pending
Heracleum maximum	Cow Parsnip	poisonous	touch-poison	herb		compound	toothed	white		umbel			Pammel, Manual of Poisonous Plants (1911)	entry Heracleum lanatum (synonym of H. maximum; said to be poisonous; will produce blisters)
Holodiscus discolor	Ocean Spray	edible		shrub				white					Yanovsky, Food Plants of the North American Indians (1936)	entry as Sericotheca discolor (synonym; small dry fruit eaten in California); traits Flora NW Coast entry
Hylocomium splendens		unknown
Hyoscyamus niger	Black Henbane	deadly											Pammel, Manual of Poisonous Plants (1911)	entry Hyoscyamus niger (one of the most deadly poisonous plants in the United States)
Hypericum anagalloides		unknown						yellow					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Hypericum anagalloides (flowers dark yellow)
Hypericum calycinum		unknown
Hypericum perforatum	Common St. John's-wort	poisonous	touch-poison	herb				yellow					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Hypericum perforatum (poisonous to horses); a well known vesicant per Pammel
Ilex aquifolium	European holly	poisonous		tree									Pammel, Manual of Poisonous Plants (1911)	Aquifoliaceae note (berries are said to be poisonous; called Poison Berry); tree per Ilex order treatment
Ilex crenata		unknown
Iris missouriensis		caution						blue		umbel			Pammel, Manual of Poisonous Plants (1911)	p. 390 (Iris missouriensis must be looked upon with suspicion); traits Flora NW Coast entry
Iris pseudacorus	Yellow iris	toxic	edible-cooked										Pammel, Manual of Poisonous Plants (1911)	catalogue entry Iris Pseudoacorus; Sturtevant: ripe seeds a coffee substitute but must be well roasted
Iris tenax		caution						purple		solitary			Pammel, Manual of Poisonous Plants (1911)	p. 390 genus statement (other U.S. Iris must be looked upon with suspicion; species entry silent); traits Flora NW Coast entry
Jacobaea maritima		unknown
Jacobaea vulgaris	Staggerwort	poisonous											Pammel, Manual of Poisonous Plants (1911)	entry Senecio Jacobaea p. 796-797 (synonym; causes the Pictou and Winton stock diseases)
Kalmia microphylla		poisonous		shrub				pink	purple				Pammel, Manual of Poisonous Plants (1911)	entry note under Kalmia latifolia (K. polifolia is poisonous; NW flora treats microphylla as K. polifolia var. microphylla)
Kalmia polifolia		poisonous		shrub				purple	pink				Pammel, Manual of Poisonous Plants (1911)	entry note under Kalmia latifolia (K. polifolia Wang., with rose-purple flowers, is poisonous); traits Flora NW Coast entry
Lamium purpureum	Red dead-nettle	edible											Sturtevant's Notes on Edible Plants (1919)	entry L. purpureum (eaten in Sweden as greens in spring)
Lapsana communis	nipplewort	edible	unpalatable	herb		simple	toothed			head			Sturtevant, Notes on Edible Plants (1919)	entry Lapsana communis; traits Piper & Beattie 1915 entry
Lathyrus japonicus	Beach Pea	caution	edible	herb		compound		purple		raceme			Pammel, Manual of Poisonous Plants (1911)	genus Lathyrus (lathyrism); edible: Yanovsky entry Lathyrus maritimus (syn.); traits Piper & Beattie 1915 entry Lathyrus maritimus (syn.)
Lathyrus latifolius		caution											Pammel, Manual of Poisonous Plants (1911)	genus Lathyrus treatment (lathyrism caused by different species)
Lathyrus nevadensis		caution		herb		compound							Pammel, Manual of Poisonous Plants (1911)	genus Lathyrus treatment (lathyrism); compound from genus key
Ligustrum ovalifolium		unknown
Ligustrum vulgare	Privet	poisonous											Pammel, Manual of Poisonous Plants (1911)	p. 128 entry Ligustrum vulgare (leaves and fruit poisonous)
Lilium columbianum	Columbia lily	edible		herb	whorled	simple		orange					Yanovsky, Food Plants of the North American Indians (1936)	p. 13 entry Lilium columbianum; traits Piper & Beattie 1915 entry
Linnaea borealis	Twin-flower	unknown				simple	toothed	pink					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Linnaea borealis longiflora
Lonicera ciliosa		edible		vine	opposite	simple		yellow	orange				Yanovsky, Food Plants of the North American Indians (1936)	entry Lonicera ciliosa (berries eaten); traits Piper & Beattie 1915 entry
Lupinus bicolor		toxic				compound							Pammel, Manual of Poisonous Plants (1911)	genus Lupinus treatment (lupinosis; seeds of all lupines deleterious raw)
Lupinus polyphyllus		toxic		herb		compound		blue	purple	raceme			Pammel, Manual of Poisonous Plants (1911)	genus Lupinus treatment (lupinosis); traits Piper & Beattie 1915 entry
Lupinus sericeus		poisonous				compound							Pammel, Manual of Poisonous Plants (1911)	entry Lupinus sericeus (sheep feeding trial, death); compound from genus key
Lysichiton americanus	Yellow Skunk Cabbage	unknown		herb	basal	simple		yellow		spike			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Lysichiton camtschatcense (syn.)
Lysimachia latifolia		unknown		herb	whorled	simple		pink					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Trientalis latifolia (syn.)
Maianthemum dilatatum		unknown		herb		simple				raceme			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Unifolium bifolium kamtschaticum (syn.); raceme from genus Unifolium
Menziesia ferruginea		unknown		shrub	alternate	simple	toothed	red	yellow				Piper & Beattie, Flora of the Northwest Coast (1915)	entry Menziesia ferruginea; alternate from genus Menziesia
Monotropa uniflora		unknown		herb		simple	entire	white		solitary			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Monotropa uniflora
Mycelis muralis		unknown
Oemleria cerasiformis	Indian Plum	poisonous	edible	shrub	alternate	simple	entire	white		raceme			Pammel, Manual of Poisonous Plants (1911)	p. 115 entry Nuttallia cerasiformis (syn., amygdalin); edible: Yanovsky entry Osmaronia cerasiformis (syn.); traits Piper & Beattie 1915 entry Osmaronia cerasiformis (syn.)
Oplopanax horridus	Devil's Club	edible		shrub		simple	lobed	green	yellow	umbel		spiny	Yanovsky, Food Plants of the North American Indians (1936)	entry Echinopanax horridum (syn., roots and young stems eaten); traits Piper & Beattie 1915 entry Echinopanax horridum (syn.)
Oxytropis campestris		caution											Pammel, Manual of Poisonous Plants (1911)	locoism chapter, loco weeds are species of Aragallus (Oxytropis) (genus)
Phytolacca americana	Pokeweed	poisonous	edible-cooked	herb		simple		white					Pammel, Manual of Poisonous Plants (1911)	entry Phytolacca decandra (syn., roots and seeds very poisonous); edible-cooked: FM 21-76 p. B-66
Pinus ponderosa	Western yellow pine	edible		tree		simple							Yanovsky, Food Plants of the North American Indians (1936)	entry Pinus ponderosa (seeds, inner bark); traits Piper & Beattie 1915 entry
Plantago lanceolata	Buckhorn	edible		herb	basal	simple				spike			FM 21-76 (1992)	Appendix B p. B-65 Plantago species (genus); traits Piper & Beattie 1915 entry
Polypodium glycyrrhiza	Licorice-root Fern	edible		fern									Piper & Beattie, Flora of the Northwest Coast (1915)	entry Polypodium occidentale (syn., rootstocks licorice-flavored, eaten)
Polystichum munitum	Pacific Christmas Fern	edible-cooked		fern									Yanovsky, Food Plants of the North American Indians (1936)	entry Polystichum munitum (rhizomes eaten roasted); also Sturtevant entry
Prunella vulgaris	Self heal	edible		herb		simple		purple		spike			Yanovsky, Food Plants of the North American Indians (1936)	entry Prunella vulgaris (infusion drunk); traits Piper & Beattie 1915 entry Prunella vulgaris lanceolata
Prunus laurocerasus	cherry laurel	poisonous											Pammel, Manual of Poisonous Plants (1911)	prussic acid section, leaves of the cherry laurel (Prunus Laurocerasus)
Pseudotsuga menziesii	Douglas fir	edible		tree		simple	entire						Yanovsky, Food Plants of the North American Indians (1936)	entry Pseudotsuga mucronata (syn., cambium, twig tea); traits Piper & Beattie 1915 entry Pseudotsuga mucronata (syn.)
Pteridium aquilinum	Bracken	toxic	edible-cooked	fern									Pammel, Manual of Poisonous Plants (1911)	entry Pteris aquilina (syn., roots and stems poisonous); edible-cooked: Yanovsky entry Pteridium aquilinum pubescens (rootstocks roasted, sprouts for soup)
Quercus garryana	Garry Oak	edible-cooked	edible	tree	alternate	simple	lobed						FM 21-76 (1992)	p. B-64 Oak, Quercus species (genus, acorns leached and boiled); edible: Yanovsky entry Quercus garryana; traits Piper & Beattie 1915 entry
Ranunculus glaberrimus		toxic		herb	alternate	simple							Pammel, Manual of Poisonous Plants (1911)	genus Ranunculus treatment (acrid, poisonous, blistering); traits from same genus treatment
Ranunculus occidentalis		toxic		herb	alternate	simple	lobed	yellow					Pammel, Manual of Poisonous Plants (1911)	genus Ranunculus treatment (acrid, poisonous); traits Piper & Beattie 1915 entry
Ranunculus repens		toxic		herb	alternate	simple	lobed						Pammel, Manual of Poisonous Plants (1911)	Brandt & Ratzeburg poisonous list incl. R. repens; appendix table Acr. ir.; traits Piper & Beattie 1915 entry
Rhododendron albiflorum		unknown		shrub		simple		white					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Rhododendron albiflorum
Rhododendron macrophyllum	California Rhododendron	poisonous		shrub		simple		pink					Pammel, Manual of Poisonous Plants (1911)	entry Rhododendron californicum (syn., poisoning cases on Pacific Coast); traits Piper & Beattie 1915 entry Rhododendron californicum (syn.)
Rhododendron menziesii		unknown		shrub	alternate	simple	toothed	red	yellow				Piper & Beattie, Flora of the Northwest Coast (1915)	entry Menziesia ferruginea (syn.); alternate from genus Menziesia
Ribes sanguineum	Red-flowering Currant	edible		shrub		simple	lobed	red	pink	raceme			Yanovsky, Food Plants of the North American Indians (1936)	entry Ribes sanguineum (berries used); traits Piper & Beattie 1915 entry
Rubus parviflorus	Thimble Berry	edible		shrub		simple	lobed	white				unarmed	Yanovsky, Food Plants of the North American Indians (1936)	entry Rubus parviflorus (fruit, young shoots); traits Piper & Beattie 1915 entry
Rubus spectabilis	Salmon-berry	edible		shrub		compound	toothed	red		solitary		spiny	Yanovsky, Food Plants of the North American Indians (1936)	entry Rubus spectabilis (fruit, young shoots); traits Piper & Beattie 1915 entry
Rubus ursinus	Dewberry	edible		vine		compound	toothed	white				spiny	Yanovsky, Food Plants of the North American Indians (1936)	entry Rubus vitifolius (syn., cited as R. ursinus, fruit eaten); traits Piper & Beattie 1915 entry Rubus macropetalus (syn.)
Sambucus racemosa	Red-berried Elder	caution	edible	shrub		compound	toothed	white					Pammel, Manual of Poisonous Plants (1911)	entry Sambucus racemosa (suspected); edible: Yanovsky entry Sambucus pubens (syn., berries raw or boiled); traits Piper & Beattie 1915 entry Sambucus callicarpa (syn.)
Sanicula crassicaulis		unknown		herb	basal	simple	lobed	yellow		umbel			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Sanicula menziesii (syn.)
Sedum spathulifolium		unknown		herb		simple		yellow					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Sedum spathulifolium
Senecio integerrimus		caution		herb	alternate								Pammel, Manual of Poisonous Plants (1911)	p. 795 genus Senecio treatment (some species poisonous); herb, alternate from same
Senecio triangularis		caution		herb	alternate	simple	toothed	yellow		head			Pammel, Manual of Poisonous Plants (1911)	genus Senecio treatment (some species poisonous); traits Piper & Beattie 1915 entry
Senecio vulgaris		unknown		herb		simple	lobed			head			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Senecio vulgaris
Solanum dulcamara	bittersweet	poisonous											Pammel, Manual of Poisonous Plants (1911)	entry Solanum Dulcamara, p. 132; also p. 719
Solanum nigrum	black nightshade	poisonous	edible	herb		simple	toothed	white					Chesnut, Principal Poisonous Plants of the United States (1898)	entry Solanum nigrum, p. 53; edible: Yanovsky (1936) entry Solanum nigrum (ripe berries only)
Solanum nitidibaccatum		unknown
Spiraea douglasii		unknown		shrub		simple	toothed	pink					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Spiraea douglasii, p. 203
Struthiopteris spicant	deer fern	unknown		fern									Piper & Beattie, Flora of the Northwest Coast (1915)	entry Struthiopteris spicant
Symphoricarpos albus	common snowberry	toxic	edible	shrub		simple	entire	pink		raceme			Pammel, Manual of Poisonous Plants (1911)	entry S. racemosus (syn.); edible: Yanovsky (1936) entry Symphoricarpos albus
Symphytum officinale	comfrey	edible	caution										Sturtevant's Notes on Edible Plants (1919)	entry Symphytum officinale ; caution: modern pyrrolizidine-alkaloid guidance, modern source pending
Tanacetum bipinnatum		unknown		herb	alternate			yellow		head			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Tanacetum huronense (syn.) and genus Tanacetum
Tanacetum parthenium	feverfew	unknown											Piper, Flora of the State of Washington (1906)	entry Chrysanthemum parthenium (syn.)
Tanacetum vulgare	common tansy	poisonous	edible	herb	alternate			yellow		head			Pammel, Manual of Poisonous Plants (1911)	entry Tanacetum vulgare, p. 790; edible: Sturtevant (1919) entry Tanacetum vulgare
Tellima grandiflora		unknown		herb	alternate	simple	lobed	green	red	raceme			Piper & Beattie, Flora of the Northwest Coast (1915)	entry Tellima grandiflora
Thuja plicata	giant arborvitae	edible		tree	opposite	simple							Yanovsky, Food Plants of the North American Indians (1936)	entry Thuja plicata (cambium eaten)
Tiarella trifoliata		unknown		herb		compound	toothed	white					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Tiarella trifoliata
Toxicodendron diversilobum	poison oak	touch-poison		shrub		compound	toothed	green					Chesnut, Principal Poisonous Plants of the United States (1898)	entry Rhus diversiloba (syn.), Poison Oak
Toxicodendron lobadioides		unknown
Toxicodendron rydbergii	poison ivy	touch-poison											Pammel, Manual of Poisonous Plants (1911)	entry Rhus Rydbergii (syn.), p. 123
Toxicoscordion paniculatum		poisonous		herb				white					Pammel, Manual of Poisonous Plants (1911)	genus treatment Zygadenus (syn. Zygadenus paniculatus), p. 378
Toxicoscordion venenosum	death camas	deadly		herb				white	yellow	raceme			Pammel, Manual of Poisonous Plants (1911)	entry Zygadenus venenosus (syn.), p. 378
Trifolium repens	white clover	edible	caution	herb		compound	toothed	white		head			Sturtevant's Notes on Edible Plants (1919)	entry T. repens; caution: Pammel (1911) entry Trifolium repens (bloat)
Trillium ovatum		toxic		herb	whorled	simple		white	pink	solitary			Pammel, Manual of Poisonous Plants (1911)	genus treatment Trillium (considered poisonous, all species emetic)
Tsuga heterophylla	western hemlock	edible		tree									Yanovsky, Food Plants of the North American Indians (1936)	entry Tsuga heterophylla (cambium eaten)
Urtica dioica	stinging nettle	touch-poison	edible-cooked	herb	opposite	simple	toothed	green				stinging	Pammel, Manual of Poisonous Plants (1911)	entry Urtica dioica; edible-cooked: FM 21-76 App. B entry Nettle (boil 10-15 minutes)
Urtica gracilis	slender nettle	touch-poison	edible-cooked	herb	opposite	simple	toothed	green				stinging	Pammel, Manual of Poisonous Plants (1911)	entry Urtica gracilis, p. 412; edible-cooked: FM 21-76 App. B entry Nettle (Urtica species, boil 10-15 minutes)
