species	common_name	edibility	edibility2	habit	armature	leafArrangement	leafType	fruitType	fruitColor	fruitColor2	clusterForm	sap	source_title	source_ref
Lonicera hispidula		unknown		vine		opposite		berry	red				Piper & Beattie, Flora of the Northwest Coast (1915)	p. 339
Lonicera involucrata	bearberry honeysuckle	toxic	edible	shrub		opposite		berry	black		single-or-paired		Pammel, A Manual of Poisonous Plants (1911)	p. 135
Lonicera japonica		caution											Pammel, A Manual of Poisonous Plants (1911)	entry Lonicera japonica
Lonicera maackii		unknown
Lonicera periclymenum		unknown
Lonicera tatarica		caution											Pammel, A Manual of Poisonous Plants (1911)	entry Lonicera tatarica
Lonicera utahensis		unknown		shrub		opposite		berry	red		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	entry Lonicera utahensis
Maianthemum dilatatum		unknown		herb				berry			raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 104
Maianthemum racemosum	false Solomonseal	edible		herb		alternate		berry	red	purple			Yanovsky, Food Plants of the North American Indians (1936)	p. 15
Maianthemum stellatum	starry false Solomon seal	edible		herb		alternate		berry			raceme		Yanovsky, Food Plants of the North American Indians (1936)	p. 15
Oemleria cerasiformis	osoberry	edible	unpalatable	shrub		alternate	simple	drupe	purple	black	raceme		Yanovsky, Food Plants of the North American Indians (1936)	p. 32
Oplopanax horridus	devil's club	unknown		shrub	thorny		simple		red		umbel		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 255
Parthenocissus inserta	Virginia creeper	caution		vine									Pammel, A Manual of Poisonous Plants (1911)	entry Psedera quinquefolia
Parthenocissus tricuspidata	Boston ivy	unknown		vine									Pammel, A Manual of Poisonous Plants (1911)	entry Psedera tricuspidata
Phytolacca americana	pokeweed	poisonous		herb				berry	purple		raceme		Pammel, A Manual of Poisonous Plants (1911)	p. 435
Prosartes hookeri		unknown		herb		alternate			orange	red	umbel		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 103
Prosartes smithii		unknown		herb		alternate					umbel		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 102
Prunus armeniaca	apricot	edible											Sturtevant's Notes on Edible Plants (1919)	entry P. armeniaca
Prunus avium	sweet cherry	choice											Sturtevant's Notes on Edible Plants (1919)	entry P. avium
Prunus cerasifera	cherry plum	edible							red				Sturtevant's Notes on Edible Plants (1919)	entry P. cerasifera
Prunus cerasus	sour cherry	edible											Sturtevant's Notes on Edible Plants (1919)	entry P. cerasus
Prunus domestica	European plum	choice											Sturtevant's Notes on Edible Plants (1919)	entry P. domestica
Prunus emarginata	bitter cherry	edible	unpalatable	tree		alternate	simple	drupe	red		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	p. 32
Prunus laurocerasus	cherry laurel	poisonous		shrub								almond	Chesnut, Principal Poisonous Plants of the United States (1898)	p. 27
Prunus lusitanica		unknown
Prunus mahaleb		caution											Pammel, A Manual of Poisonous Plants (1911)	entry Prunus Mahaleb
Prunus padus	bird cherry	edible	unpalatable						black				Sturtevant's Notes on Edible Plants (1919)	entry P. padus
Prunus pugetensis		unknown
Prunus spinosa	Sloe	edible				alternate	simple	drupe	black	blue			Sturtevant's Notes on Edible Plants (1919)	p. 465
Prunus virginiana	Choke Cherry	edible	toxic	shrub		alternate	simple	drupe				almond	Pammel, A Manual of Poisonous Plants (1911)	p. 116
Prunus yedoensis		unknown
Ribes acerifolium		inedible		shrub	unarmed	alternate	simple	berry	black		raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 187
Ribes aureum	Golden currant	edible		shrub	unarmed	alternate	simple	berry	yellow	red			Yanovsky, Food Plants of the North American Indians (1936)	p. 29
Ribes bracteosum	Stink Currant	edible	unpalatable	shrub	unarmed	alternate	simple	berry	black		raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 188
Ribes cereum	Wax currant	edible	unpalatable	shrub	unarmed	alternate	simple	berry	red	orange	raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 187
Ribes divaricatum	Coast gooseberry	choice		shrub	thorny	alternate	simple	berry	black		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 187
Ribes lacustre	Prickly currant	edible		shrub	thorny	alternate	simple	berry	black		raceme		Yanovsky, Food Plants of the North American Indians (1936)	p. 29
Ribes lobbii	Pioneer gooseberry	edible		shrub	thorny	alternate	simple	berry			single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 29
Ribes sanguineum	Red-flowering Currant	edible	unpalatable	shrub	unarmed	alternate	simple	berry	black		raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 187
Ribes viscosissimum	Sticky currant	edible		shrub	unarmed	alternate	simple	berry	black		raceme		Yanovsky, Food Plants of the North American Indians (1936)	p. 30
Rosa gymnocarpa	Bald-hip rose	edible		shrub	thorny	alternate	compound				single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 33
Rosa multiflora		unknown
Rosa nutkana	Nutka rose	edible	caution	shrub	thorny	alternate	compound				single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 34
Rosa pisocarpa		unknown		shrub		alternate	compound				flat-cluster		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 205
Rosa rugosa	Turkestan rose	edible		shrub		alternate	compound						Sturtevant's Notes on Edible Plants (1919)	p. 504
Rosa woodsii	Woods rose	edible		shrub		alternate	compound						Yanovsky, Food Plants of the North American Indians (1936)	p. 34
Rubus armeniacus		unknown
Rubus laciniatus	Evergreen Blackberry	edible		shrub	thorny	alternate	compound	aggregate	black		flat-cluster		Sturtevant's Notes on Edible Plants (1919)	p. 507
Rubus lasiococcus		unknown		herb		alternate	simple	aggregate	red		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 203
Rubus leucodermis	Blackcap	edible		shrub	thorny	alternate	compound	aggregate	black		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	p. 34
Rubus nivalis		unknown		trailing	thorny	alternate	simple	aggregate	red				Piper & Beattie, Flora of the Northwest Coast (1915)	p. 204
Rubus parviflorus	Thimble Berry	edible		shrub	unarmed	alternate	simple	aggregate	red		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	p. 34
Rubus pedatus		edible		herb		alternate	compound	aggregate	red				Yanovsky, Food Plants of the North American Indians (1936)	p. 35
Rubus spectabilis	Salmonberry	edible		shrub	thorny	alternate	compound	aggregate	yellow	red	single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 35
Rubus ursinus	California dewberry	edible		trailing	thorny	alternate	compound	aggregate	black				Yanovsky, Food Plants of the North American Indians (1936)	p. 35
Sambucus cerulea	Blueberry elder	edible		shrub		opposite	compound	drupe	black	blue	flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	p. 57
Sambucus racemosa	Red-berried Elder	edible	caution	shrub		opposite	compound	drupe	red	yellow	raceme		Pammel, A Manual of Poisonous Plants (1911)	p. 135
Shepherdia canadensis	Russet buffaloberry	edible		shrub		opposite	simple		red	orange			Yanovsky, Food Plants of the North American Indians (1936)	p. 46
Solanum americanum		unknown
Solanum cochabambense		unknown
Solanum dulcamara	Bittersweet	toxic		vine			simple	berry	red				Chesnut, Principal Poisonous Plants of the United States (1898)	p. 53
Solanum lycopersicum	Tomato	edible						berry					Sturtevant's Notes on Edible Plants (1919)	p. 343
Solanum nigrum	Black nightshade	toxic	edible	herb			simple	berry	black		flat-cluster		Chesnut, Principal Poisonous Plants of the United States (1898)	p. 52
Solanum nitidibaccatum		unknown
Solanum physalifolium		unknown
Solanum rostratum	Buffalo Bur	unknown		herb	thorny		simple	berry					Piper, Flora of the State of Washington (1906)	p. 520
Solanum sarrachoides		unknown
Solanum triflorum	Spreading nightshade	poisonous	edible	herb	unarmed		simple	berry	green	black			Chesnut, Principal Poisonous Plants of the United States (1898)	p. 54
Solanum tuberosum	Potato	poisonous		herb			compound	berry	green				Pammel, A Manual of Poisonous Plants (1911)	p. 724
Sorbus aucuparia	mountain ash	edible								red				Sturtevant's Notes on Edible Plants (1919)
Sorbus scopulina		unknown
Sorbus sitchensis	Mountain Ash	edible		shrub			compound	pome	red		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	p. 35
Streptopus amplexifolius	Clasping twistedstalk	edible		herb		alternate	simple	berry	red		single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 15
Streptopus lanceolatus		unknown		herb		alternate	simple		red		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 102
Streptopus streptopoides		unknown
Symphoricarpos albus	Common snowberry	toxic	edible	shrub			simple	berry	white		raceme		Pammel, A Manual of Poisonous Plants (1911)	p. 135
Symphoricarpos mollis	Coral Berry	caution		trailing			simple	berry	white				Pammel, A Manual of Poisonous Plants (1911)	p. 135
Symphoricarpos occidentalis	Western snowberry	edible	caution										Yanovsky, Food Plants of the North American Indians (1936)	p. 58
Symphoricarpos oreophilus		unknown
Symphoricarpos rotundifolius		unknown
Taxus baccata	European Yew	deadly				alternate	simple		red				Pammel, A Manual of Poisonous Plants (1911)	p. 329
Taxus brevifolia	Western Yew	poisonous	edible	tree		alternate	simple		red				Yanovsky, Food Plants of the North American Indians (1936)	p. 4
Toxicodendron diversilobum	Poison Oak	poisonous		shrub		alternate	compound	drupe	white				Chesnut, Principal Poisonous Plants of the United States (1898)	p. 36
Toxicodendron lobadioides	Poison ivy	poisonous											Pammel, A Manual of Poisonous Plants (1911)	p. 123
Toxicodendron rydbergii	Poison Ivy	poisonous		shrub		alternate	compound						Pammel, A Manual of Poisonous Plants (1911)	p. 123
Trillium albidum		toxic		herb		whorled	simple	berry			single-or-paired		Pammel, A Manual of Poisonous Plants (1911)	p. 385
Trillium crassifolium		toxic		herb		whorled	simple	berry			single-or-paired		Pammel, A Manual of Poisonous Plants (1911)	p. 385
Trillium ovatum	Wake-robin	toxic		herb		whorled	simple	berry			single-or-paired		Pammel, A Manual of Poisonous Plants (1911)	p. 385
Trillium petiolatum		toxic		herb		whorled	simple	berry			single-or-paired		Pammel, A Manual of Poisonous Plants (1911)	p. 385
Trillium stenosepalum		toxic		herb		whorled	simple	berry			single-or-paired		Pammel, A Manual of Poisonous Plants (1911)	p. 385
Vaccinium deliciosum		edible		shrub		alternate	simple	berry	blue	black	single-or-paired		FM 21-76 Appendix B	p. B-17
Vaccinium membranaceum	Big whortleberry	edible		shrub		alternate	simple	berry	black	purple	single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 51
Vaccinium ovalifolium	Blue whortleberry	edible		shrub		alternate	simple	berry	blue	black	single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 52
Vaccinium ovatum	Box blueberry	edible		shrub		alternate	simple	berry	black		raceme		Yanovsky, Food Plants of the North American Indians (1936)	p. 52
Vaccinium oxycoccos	Small cranberry	edible		trailing		alternate	simple	berry	red				Yanovsky, Food Plants of the North American Indians (1936)	p. 51
Vaccinium parvifolium	Red whortleberry	edible		shrub		alternate	simple	berry	red		single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 52
Vaccinium scoparium	Grouse whortleberry	edible		shrub		alternate	simple	berry	red		single-or-paired		Yanovsky, Food Plants of the North American Indians (1936)	p. 52
Viburnum edule	High-bush Cranberry	edible		shrub			simple	drupe	red		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	p. 58
Viburnum ellipticum		unknown		shrub			simple	drupe	black		flat-cluster		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 337
Viburnum lantana		unknown
Viburnum opulus	cranberry tree	edible		shrub			simple	drupe	red		flat-cluster		Sturtevant's Notes on Edible Plants (1919)	p. 592
Viburnum plicatum		unknown
Viburnum tinus		unknown
